"Alter1_ID","Alter2_ID","Weight","Ego_ID"
"JAIME","ROBERT",23,"BRAN"
"JOFFREY","ROBERT",33,"BRAN"
"JON","ROBERT",3,"BRAN"
"MAESTER_LUWIN","ROBERT",2,"BRAN"
"NED","ROBERT",199,"BRAN"
"ROBB","ROBERT",5,"BRAN"
"CATELYN","RODRIK",28,"BRAN"
"JON","RODRIK",2,"BRAN"
"MAESTER_LUWIN","RODRIK",7,"BRAN"
"NED","RODRIK",12,"BRAN"
"RICKON","RODRIK",2,"BRAN"
"ROBB","RODRIK",16,"BRAN"
"HODOR","SAM",8,"BRAN"
"JON","SAM",168,"BRAN"
"ARYA","SANSA",61,"BRAN"
"CATELYN","SANSA",20,"BRAN"
"CERSEI","SANSA",116,"BRAN"
"HOUND","SANSA",59,"BRAN"
"JAIME","SANSA",2,"BRAN"
"JOFFREY","SANSA",147,"BRAN"
"MAESTER_LUWIN","SANSA",2,"BRAN"
"NED","SANSA",57,"BRAN"
"ROBB","SANSA",19,"BRAN"
"ROBERT","SANSA",17,"BRAN"
"CATELYN","THEON",16,"BRAN"
"HODOR","THEON",8,"BRAN"
"JAIME","THEON",4,"BRAN"
"JON","THEON",7,"BRAN"
"MAESTER_LUWIN","THEON",61,"BRAN"
"NED","THEON",18,"BRAN"
"OLD_NAN","THEON",2,"BRAN"
"OSHA","THEON",61,"BRAN"
"RICKON","THEON",8,"BRAN"
"ROBB","THEON",87,"BRAN"
"ROBERT","THEON",2,"BRAN"
"RODRIK","THEON",31,"BRAN"
"ARYA","TYRION",4,"BRAN"
"CATELYN","TYRION",49,"BRAN"
"CERSEI","TYRION",290,"BRAN"
"HODOR","TYRION",3,"BRAN"
"HOUND","TYRION",39,"BRAN"
"JAIME","TYRION",50,"BRAN"
"JOFFREY","TYRION",121,"BRAN"
"JON","TYRION",45,"BRAN"
"MAESTER_LUWIN","TYRION",7,"BRAN"
"NED","TYRION",23,"BRAN"
"ROBB","TYRION",19,"BRAN"
"ROBERT","TYRION",10,"BRAN"
"RODRIK","TYRION",9,"BRAN"
"SANSA","TYRION",110,"BRAN"
"THEON","TYRION",21,"BRAN"
"JOFFREY","WILL",2,"BRAN"
"JON","WILL",3,"BRAN"
"NED","WILL",3,"BRAN"
"THEON","WILL",2,"BRAN"
"HODOR","DAGMER",2,"BRAN"
"MAESTER_LUWIN","DAGMER",5,"BRAN"
"OSHA","DAGMER",3,"BRAN"
"RICKON","DAGMER",4,"BRAN"
"RODRIK","DAGMER",3,"BRAN"
"THEON","DAGMER",48,"BRAN"
"RICKON","FARLEN",2,"BRAN"
"THEON","FARLEN",3,"BRAN"
"DAGMER","FARLEN",2,"BRAN"
"HODOR","GILLY",3,"BRAN"
"JON","GILLY",10,"BRAN"
"SAM","GILLY",119,"BRAN"
"HODOR","YGRITTE",2,"BRAN"
"JON","YGRITTE",269,"BRAN"
"OSHA","YGRITTE",2,"BRAN"
"RICKON","YGRITTE",2,"BRAN"
"BRANDON_STARK","JOJEN",3,"BRAN"
"HODOR","JOJEN",23,"BRAN"
"JON","JOJEN",5,"BRAN"
"NED","JOJEN",3,"BRAN"
"OSHA","JOJEN",28,"BRAN"
"RICKON","JOJEN",9,"BRAN"
"SAM","JOJEN",12,"BRAN"
"GILLY","JOJEN",4,"BRAN"
"YGRITTE","JOJEN",2,"BRAN"
"HODOR","MEERA",14,"BRAN"
"JON","MEERA",2,"BRAN"
"OSHA","MEERA",34,"BRAN"
"RICKON","MEERA",13,"BRAN"
"SAM","MEERA",8,"BRAN"
"GILLY","MEERA",8,"BRAN"
"YGRITTE","MEERA",2,"BRAN"
"JOJEN","MEERA",24,"BRAN"
"HODOR","ORELL",3,"BRAN"
"JON","ORELL",37,"BRAN"
"OSHA","ORELL",3,"BRAN"
"RICKON","ORELL",3,"BRAN"
"YGRITTE","ORELL",32,"BRAN"
"JOJEN","ORELL",3,"BRAN"
"MEERA","ORELL",3,"BRAN"
"HODOR","TORMUND",2,"BRAN"
"JON","TORMUND",34,"BRAN"
"OSHA","TORMUND",2,"BRAN"
"RICKON","TORMUND",2,"BRAN"
"YGRITTE","TORMUND",29,"BRAN"
"JOJEN","TORMUND",2,"BRAN"
"MEERA","TORMUND",2,"BRAN"
"ORELL","TORMUND",30,"BRAN"
"CATELYN","CERSEI",22,"BRONN"
"CATELYN","HOUND",4,"BRONN"
"CERSEI","HOUND",12,"BRONN"
"CERSEI","JANOS",11,"BRONN"
"CATELYN","JOFFREY",6,"BRONN"
"CERSEI","JOFFREY",158,"BRONN"
"HOUND","JOFFREY",67,"BRONN"
"JANOS","JOFFREY",4,"BRONN"
"CERSEI","LANCEL",27,"BRONN"
"HOUND","LANCEL",9,"BRONN"
"JOFFREY","LANCEL",12,"BRONN"
"CATELYN","LORAS",9,"BRONN"
"CERSEI","LORAS",20,"BRONN"
"HOUND","LORAS",4,"BRONN"
"JOFFREY","LORAS",16,"BRONN"
"CATELYN","LYSA",30,"BRONN"
"CATELYN","MARILLION",4,"BRONN"
"JOFFREY","MARILLION",14,"BRONN"
"CERSEI","MERYN_TRANT",15,"BRONN"
"HOUND","MERYN_TRANT",15,"BRONN"
"JOFFREY","MERYN_TRANT",29,"BRONN"
"MARILLION","MERYN_TRANT",2,"BRONN"
"CATELYN","MORD",5,"BRONN"
"LYSA","MORD",5,"BRONN"
"CERSEI","PYCELLE",33,"BRONN"
"JANOS","PYCELLE",4,"BRONN"
"JOFFREY","PYCELLE",21,"BRONN"
"LORAS","PYCELLE",5,"BRONN"
"CATELYN","ROBIN",10,"BRONN"
"LYSA","ROBIN",30,"BRONN"
"MORD","ROBIN",3,"BRONN"
"CATELYN","RODRIK",28,"BRONN"
"MARILLION","RODRIK",5,"BRONN"
"MORD","RODRIK",2,"BRONN"
"CATELYN","SANSA",20,"BRONN"
"CERSEI","SANSA",116,"BRONN"
"HOUND","SANSA",59,"BRONN"
"JOFFREY","SANSA",147,"BRONN"
"LANCEL","SANSA",4,"BRONN"
"LORAS","SANSA",35,"BRONN"
"MERYN_TRANT","SANSA",20,"BRONN"
"PYCELLE","SANSA",15,"BRONN"
"CERSEI","SHAE",21,"BRONN"
"HOUND","SHAE",3,"BRONN"
"JOFFREY","SHAE",5,"BRONN"
"LANCEL","SHAE",2,"BRONN"
"LORAS","SHAE",2,"BRONN"
"SANSA","SHAE",105,"BRONN"
"KEVAN","SHAGGA",2,"BRONN"
"CATELYN","TYRION",49,"BRONN"
"CERSEI","TYRION",290,"BRONN"
"HOUND","TYRION",39,"BRONN"
"JANOS","TYRION",39,"BRONN"
"JOFFREY","TYRION",121,"BRONN"
"KEVAN","TYRION",14,"BRONN"
"LANCEL","TYRION",37,"BRONN"
"LORAS","TYRION",48,"BRONN"
"LYSA","TYRION",32,"BRONN"
"MARILLION","TYRION",5,"BRONN"
"MERYN_TRANT","TYRION",23,"BRONN"
"MORD","TYRION",31,"BRONN"
"PYCELLE","TYRION",58,"BRONN"
"ROBIN","TYRION",12,"BRONN"
"RODRIK","TYRION",9,"BRONN"
"SANSA","TYRION",110,"BRONN"
